Date Saved,6/15/2018 10:53:44 AM
Title,LEDFIX2500DX100_003_02ﾟ_3409K

Measuring Mode,Ambient
Viewing Angle [ﾟ],2
Tcp [K],3409
⊿uv,0.0045
Illuminance [lx],525
Illuminance [fc],48.8
Peak Wavelength [nm],612
Tristimulus Value X,536.9021
Tristimulus Value Y,524.7748
Tristimulus Value Z,230.1736
CIE1931 x,0.4156
CIE1931 y,0.4062
CIE1931 z,0.1782
CIE1976 u',0.2360
CIE1976 v',0.5191
Dominant Wavelength [nm],580
Purity [%],46.68
PPFD [umolm⁻²s⁻¹],6.8
CRI Ra,84.7
CRI R1,95.4
CRI R2,94.2
CRI R3,65.9
CRI R4,91.1
CRI R5,86.6
CRI R6,83.5
CRI R7,91.7
CRI R8,69.3
CRI R9,6.6
CRI R10,58.9
CRI R11,76.7
CRI R12,61.0
CRI R13,97.2
CRI R14,76.6
CRI R15,90.6

Spectral Data 380[nm],0.000000000000
Spectral Data 385[nm],0.000000000000
Spectral Data 390[nm],0.000000000000
Spectral Data 395[nm],0.000106828564
Spectral Data 400[nm],0.000597341917
Spectral Data 405[nm],0.000963437895
Spectral Data 410[nm],0.000918854435
Spectral Data 415[nm],0.000773513166
Spectral Data 420[nm],0.000890550320
Spectral Data 425[nm],0.001557378098
Spectral Data 430[nm],0.003613274312
Spectral Data 435[nm],0.005964697339
Spectral Data 440[nm],0.005427386612
Spectral Data 445[nm],0.003216735087
Spectral Data 450[nm],0.002412693808
Spectral Data 455[nm],0.002431736561
Spectral Data 460[nm],0.002358238446
Spectral Data 465[nm],0.002246737946
Spectral Data 470[nm],0.002114350209
Spectral Data 475[nm],0.002170839813
Spectral Data 480[nm],0.003090162762
Spectral Data 485[nm],0.005135668907
Spectral Data 490[nm],0.006536029745
Spectral Data 495[nm],0.005553314462
Spectral Data 500[nm],0.003530501854
Spectral Data 505[nm],0.002044599038
Spectral Data 510[nm],0.001417727326
Spectral Data 515[nm],0.001233597635
Spectral Data 520[nm],0.001151985954
Spectral Data 525[nm],0.001195319928
Spectral Data 530[nm],0.002191604348
Spectral Data 535[nm],0.006813621148
Spectral Data 540[nm],0.016686165705
Spectral Data 545[nm],0.022317307070
Spectral Data 550[nm],0.016190944239
Spectral Data 555[nm],0.007622757461
Spectral Data 560[nm],0.003089019330
Spectral Data 565[nm],0.001744482550
Spectral Data 570[nm],0.001989738783
Spectral Data 575[nm],0.003572316840
Spectral Data 580[nm],0.006438408513
Spectral Data 585[nm],0.008548786864
Spectral Data 590[nm],0.008147328161
Spectral Data 595[nm],0.006440750789
Spectral Data 600[nm],0.005424861331
Spectral Data 605[nm],0.011887889355
Spectral Data 610[nm],0.021149005741
Spectral Data 615[nm],0.019695585594
Spectral Data 620[nm],0.011501225643
Spectral Data 625[nm],0.007892579772
Spectral Data 630[nm],0.006003185175
Spectral Data 635[nm],0.003676875727
Spectral Data 640[nm],0.002192802262
Spectral Data 645[nm],0.002050291980
Spectral Data 650[nm],0.002104092622
Spectral Data 655[nm],0.001999962609
Spectral Data 660[nm],0.001845763181
Spectral Data 665[nm],0.001718751271
Spectral Data 670[nm],0.001575922943
Spectral Data 675[nm],0.001478994847
Spectral Data 680[nm],0.001523853047
Spectral Data 685[nm],0.001658317749
Spectral Data 690[nm],0.001516613411
Spectral Data 695[nm],0.001375518856
Spectral Data 700[nm],0.001784491818
Spectral Data 705[nm],0.002643298125
Spectral Data 710[nm],0.002988760360
Spectral Data 715[nm],0.002254292602
Spectral Data 720[nm],0.001379534137
Spectral Data 725[nm],0.000944914354
Spectral Data 730[nm],0.000955433643
Spectral Data 735[nm],0.001094752457
Spectral Data 740[nm],0.001242399681
Spectral Data 745[nm],0.001360722817
Spectral Data 750[nm],0.001262192964
