Date Saved,6/15/2018 10:53:33 AM
Title,LEDBENCH_001_02ﾟ_5416K

Measuring Mode,Ambient
Viewing Angle [ﾟ],2
Tcp [K],5416
⊿uv,0.0035
Illuminance [lx],5510
Illuminance [fc],512
Peak Wavelength [nm],451
Tristimulus Value X,5274.8245
Tristimulus Value Y,5514.0402
Tristimulus Value Z,4978.4032
CIE1931 x,0.3345
CIE1931 y,0.3497
CIE1931 z,0.3157
CIE1976 u',0.2050
CIE1976 v',0.4822
Dominant Wavelength [nm],558
Purity [%],5.33
PPFD [umolm⁻²s⁻¹],77.2
CRI Ra,82.8
CRI R1,80.6
CRI R2,88.1
CRI R3,93.0
CRI R4,82.2
CRI R5,81.6
CRI R6,83.5
CRI R7,86.9
CRI R8,66.4
CRI R9,2.7
CRI R10,71.4
CRI R11,81.1
CRI R12,64.6
CRI R13,82.6
CRI R14,96.3
CRI R15,74.5

Spectral Data 380[nm],0.000000000000
Spectral Data 385[nm],0.000000000000
Spectral Data 390[nm],0.000000000000
Spectral Data 395[nm],0.000000000000
Spectral Data 400[nm],0.000000000000
Spectral Data 405[nm],0.000000000000
Spectral Data 410[nm],0.000128568776
Spectral Data 415[nm],0.002173760906
Spectral Data 420[nm],0.007411693223
Spectral Data 425[nm],0.016509994864
Spectral Data 430[nm],0.030737334862
Spectral Data 435[nm],0.052198912948
Spectral Data 440[nm],0.080425873399
Spectral Data 445[nm],0.107171744108
Spectral Data 450[nm],0.119616441429
Spectral Data 455[nm],0.113054707646
Spectral Data 460[nm],0.094433650374
Spectral Data 465[nm],0.075134098530
Spectral Data 470[nm],0.059467677027
Spectral Data 475[nm],0.048200476915
Spectral Data 480[nm],0.042653497308
Spectral Data 485[nm],0.042660258710
Spectral Data 490[nm],0.046427201480
Spectral Data 495[nm],0.051050391048
Spectral Data 500[nm],0.055909112096
Spectral Data 505[nm],0.061076179147
Spectral Data 510[nm],0.065637767315
Spectral Data 515[nm],0.069106891751
Spectral Data 520[nm],0.072033293545
Spectral Data 525[nm],0.074392564595
Spectral Data 530[nm],0.077277533710
Spectral Data 535[nm],0.079335644841
Spectral Data 540[nm],0.079425267875
Spectral Data 545[nm],0.079734794796
Spectral Data 550[nm],0.081588640809
Spectral Data 555[nm],0.083489052951
Spectral Data 560[nm],0.084662996233
Spectral Data 565[nm],0.085757590830
Spectral Data 570[nm],0.085910081863
Spectral Data 575[nm],0.085690498352
Spectral Data 580[nm],0.086069062352
Spectral Data 585[nm],0.085720248520
Spectral Data 590[nm],0.084768123925
Spectral Data 595[nm],0.083427146077
Spectral Data 600[nm],0.080954387784
Spectral Data 605[nm],0.078048050404
Spectral Data 610[nm],0.074547186494
Spectral Data 615[nm],0.070116028190
Spectral Data 620[nm],0.065402843058
Spectral Data 625[nm],0.060607776046
Spectral Data 630[nm],0.055653512478
Spectral Data 635[nm],0.050720687956
Spectral Data 640[nm],0.045760698617
Spectral Data 645[nm],0.041121426970
Spectral Data 650[nm],0.036715734750
Spectral Data 655[nm],0.032603032887
Spectral Data 660[nm],0.028735082597
Spectral Data 665[nm],0.025012524799
Spectral Data 670[nm],0.021638119593
Spectral Data 675[nm],0.018753578886
Spectral Data 680[nm],0.016386562958
Spectral Data 685[nm],0.014214128256
Spectral Data 690[nm],0.012320736423
Spectral Data 695[nm],0.010728660040
Spectral Data 700[nm],0.009227606468
Spectral Data 705[nm],0.007930839434
Spectral Data 710[nm],0.006808237173
Spectral Data 715[nm],0.005908603780
Spectral Data 720[nm],0.005344070494
Spectral Data 725[nm],0.004831096623
Spectral Data 730[nm],0.003972256556
Spectral Data 735[nm],0.002984924009
Spectral Data 740[nm],0.003019315889
Spectral Data 745[nm],0.003417975968
Spectral Data 750[nm],0.002762011252
Spectral Data 755[nm],0.001788708149
Spectral Data 760[nm],0.000675291172
Spectral Data 765[nm],0.001097375061
Spectral Data 770[nm],0.001232543611
Spectral Data 775[nm],0.000855599472
Spectral Data 780[nm],0.000706224178

Spectral Data 380[nm],0.000000000000
Spectral Data 381[nm],0.000000000000
Spectral Data 382[nm],0.000000000000
Spectral Data 383[nm],0.000000000000
Spectral Data 384[nm],0.000000000000
Spectral Data 385[nm],0.000000000000
Spectral Data 386[nm],0.000000000000
Spectral Data 387[nm],0.000000000000
Spectral Data 388[nm],0.000000000000
Spectral Data 389[nm],0.000000000000
Spectral Data 390[nm],0.000000000000
Spectral Data 391[nm],0.000000000000
Spectral Data 392[nm],0.000000000000
Spectral Data 393[nm],0.000000000000
Spectral Data 394[nm],0.000000000000
Spectral Data 395[nm],0.000000000000
Spectral Data 396[nm],0.000000000000
Spectral Data 397[nm],0.000000000000
Spectral Data 398[nm],0.000000000000
Spectral Data 399[nm],0.000000000000
Spectral Data 400[nm],0.000000000000
Spectral Data 401[nm],0.000000000000
Spectral Data 402[nm],0.000000000000
Spectral Data 403[nm],0.000000000000
Spectral Data 404[nm],0.000000000000
Spectral Data 405[nm],0.000000000000
Spectral Data 406[nm],0.000000000000
Spectral Data 407[nm],0.000000000000
Spectral Data 408[nm],0.000000000000
Spectral Data 409[nm],0.000000000000
Spectral Data 410[nm],0.000000000000
Spectral Data 411[nm],0.000000000000
Spectral Data 412[nm],0.000173588749
Spectral Data 413[nm],0.000701091369
Spectral Data 414[nm],0.001294997288
Spectral Data 415[nm],0.001971654827
Spectral Data 416[nm],0.002746438840
Spectral Data 417[nm],0.003632426960
Spectral Data 418[nm],0.004642365035
Spectral Data 419[nm],0.005788984243
Spectral Data 420[nm],0.007083873264
Spectral Data 421[nm],0.008536682464
Spectral Data 422[nm],0.010156873614
Spectral Data 423[nm],0.011953976937
Spectral Data 424[nm],0.013935018331
Spectral Data 425[nm],0.016103798524
Spectral Data 426[nm],0.018464125693
Spectral Data 427[nm],0.021020283923
Spectral Data 428[nm],0.023790974170
Spectral Data 429[nm],0.026807449758
Spectral Data 430[nm],0.030101139098
Spectral Data 431[nm],0.033702448010
Spectral Data 432[nm],0.037630032748
Spectral Data 433[nm],0.041895031929
Spectral Data 434[nm],0.046508461237
Spectral Data 435[nm],0.051476314664
Spectral Data 436[nm],0.056773852557
Spectral Data 437[nm],0.062361124903
Spectral Data 438[nm],0.068197898567
Spectral Data 439[nm],0.074236571789
Spectral Data 440[nm],0.080382034183
Spectral Data 441[nm],0.086523175240
Spectral Data 442[nm],0.092548944056
Spectral Data 443[nm],0.098341703415
Spectral Data 444[nm],0.103753112257
Spectral Data 445[nm],0.108625903726
Spectral Data 446[nm],0.112802833319
Spectral Data 447[nm],0.116156280041
Spectral Data 448[nm],0.118670329452
Spectral Data 449[nm],0.120355337858
Spectral Data 450[nm],0.121221683919
Spectral Data 451[nm],0.121282011271
Spectral Data 452[nm],0.120555996895
Spectral Data 453[nm],0.119064636528
Spectral Data 454[nm],0.116829052567
Spectral Data 455[nm],0.113908067346
Spectral Data 456[nm],0.110454410315
Spectral Data 457[nm],0.106635332108
Spectral Data 458[nm],0.102617897093
Spectral Data 459[nm],0.098530180752
Spectral Data 460[nm],0.094417773187
Spectral Data 461[nm],0.090315908194
Spectral Data 462[nm],0.086259856820
Spectral Data 463[nm],0.082286655903
Spectral Data 464[nm],0.078436441720
Spectral Data 465[nm],0.074749656022
Spectral Data 466[nm],0.071266196668
Spectral Data 467[nm],0.067998550832
Spectral Data 468[nm],0.064919635653
Spectral Data 469[nm],0.061999272555
Spectral Data 470[nm],0.059208080173
Spectral Data 471[nm],0.056542355567
Spectral Data 472[nm],0.054029241204
Spectral Data 473[nm],0.051697701216
Spectral Data 474[nm],0.049576435238
Spectral Data 475[nm],0.047687802464
Spectral Data 476[nm],0.046047832817
Spectral Data 477[nm],0.044672288001
Spectral Data 478[nm],0.043575681746
Spectral Data 479[nm],0.042751573026
Spectral Data 480[nm],0.042176052928
Spectral Data 481[nm],0.041824690998
Spectral Data 482[nm],0.041673954576
Spectral Data 483[nm],0.041711952537
Spectral Data 484[nm],0.041934855282
Spectral Data 485[nm],0.042338993400
Spectral Data 486[nm],0.042918678373
Spectral Data 487[nm],0.043648447841
Spectral Data 488[nm],0.044491462409
Spectral Data 489[nm],0.045410715044
Spectral Data 490[nm],0.046370588243
Spectral Data 491[nm],0.047347094864
Spectral Data 492[nm],0.048321869224
Spectral Data 493[nm],0.049276575446
Spectral Data 494[nm],0.050196845084
Spectral Data 495[nm],0.051094248891
Spectral Data 496[nm],0.051990732551
Spectral Data 497[nm],0.052908264101
Spectral Data 498[nm],0.053864896297
Spectral Data 499[nm],0.054858051240
Spectral Data 500[nm],0.055878419429
Spectral Data 501[nm],0.056916687638
Spectral Data 502[nm],0.057964012027
Spectral Data 503[nm],0.059013523161
Spectral Data 504[nm],0.060058891773
Spectral Data 505[nm],0.061093773693
Spectral Data 506[nm],0.062110338360
Spectral Data 507[nm],0.063095569611
Spectral Data 508[nm],0.064035370946
Spectral Data 509[nm],0.064915612340
Spectral Data 510[nm],0.065728388727
Spectral Data 511[nm],0.066483117640
Spectral Data 512[nm],0.067192256451
Spectral Data 513[nm],0.067868217826
Spectral Data 514[nm],0.068521164358
Spectral Data 515[nm],0.069155946374
Spectral Data 516[nm],0.069776698947
Spectral Data 517[nm],0.070387519896
Spectral Data 518[nm],0.070987276733
Spectral Data 519[nm],0.071565032005
Spectral Data 520[nm],0.072108745575
Spectral Data 521[nm],0.072606571019
Spectral Data 522[nm],0.073060013354
Spectral Data 523[nm],0.073491543531
Spectral Data 524[nm],0.073925390840
Spectral Data 525[nm],0.074385613203
Spectral Data 526[nm],0.074887238443
Spectral Data 527[nm],0.075433224440
Spectral Data 528[nm],0.076025739312
Spectral Data 529[nm],0.076666094363
Spectral Data 530[nm],0.077331736684
Spectral Data 531[nm],0.077973581851
Spectral Data 532[nm],0.078541181982
Spectral Data 533[nm],0.078985869884
Spectral Data 534[nm],0.079294569790
Spectral Data 535[nm],0.079487159848
Spectral Data 536[nm],0.079584755003
Spectral Data 537[nm],0.079608306289
Spectral Data 538[nm],0.079576447606
Spectral Data 539[nm],0.079506047070
Spectral Data 540[nm],0.079413913190
Spectral Data 541[nm],0.079317957163
Spectral Data 542[nm],0.079248845577
Spectral Data 543[nm],0.079245358706
Spectral Data 544[nm],0.079346425831
Spectral Data 545[nm],0.079585455358
Spectral Data 546[nm],0.079943597317
Spectral Data 547[nm],0.080374650657
Spectral Data 548[nm],0.080832220614
Spectral Data 549[nm],0.081273637712
Spectral Data 550[nm],0.081687591970
Spectral Data 551[nm],0.082079045475
Spectral Data 552[nm],0.082453109324
Spectral Data 553[nm],0.082814186811
Spectral Data 554[nm],0.083159878850
Spectral Data 555[nm],0.083483725786
Spectral Data 556[nm],0.083779200912
Spectral Data 557[nm],0.084040731192
Spectral Data 558[nm],0.084274277091
Spectral Data 559[nm],0.084493398666
Spectral Data 560[nm],0.084711767733
Spectral Data 561[nm],0.084942027926
Spectral Data 562[nm],0.085182510316
Spectral Data 563[nm],0.085420794785
Spectral Data 564[nm],0.085644192994
Spectral Data 565[nm],0.085839964449
Spectral Data 566[nm],0.085994802415
Spectral Data 567[nm],0.086094900966
Spectral Data 568[nm],0.086126454175
Spectral Data 569[nm],0.086076907814
Spectral Data 570[nm],0.085960313678
Spectral Data 571[nm],0.085815340281
Spectral Data 572[nm],0.085681505501
Spectral Data 573[nm],0.085597403347
Spectral Data 574[nm],0.085577882826
Spectral Data 575[nm],0.085612721741
Spectral Data 576[nm],0.085690557957
Spectral Data 577[nm],0.085799850523
Spectral Data 578[nm],0.085924267769
Spectral Data 579[nm],0.086041875184
Spectral Data 580[nm],0.086130432785
Spectral Data 581[nm],0.086168006063
Spectral Data 582[nm],0.086144804955
Spectral Data 583[nm],0.086066730320
Spectral Data 584[nm],0.085940778255
Spectral Data 585[nm],0.085774026811
