Date Saved,6/15/2018 10:24:31 AM
Title,LEDARRAY_003_02ﾟ_6532K

Measuring Mode,Ambient
Viewing Angle [ﾟ],2
Tcp [K],6532
⊿uv,-0.0069
Illuminance [lx],7460
Illuminance [fc],693
Peak Wavelength [nm],457
Tristimulus Value X,7522.6228
Tristimulus Value Y,7458.8034
Tristimulus Value Z,8926.5787
CIE1931 x,0.3146
CIE1931 y,0.3120
CIE1931 z,0.3734
CIE1976 u',0.2058
CIE1976 v',0.4592
Dominant Wavelength [nm],474
Purity [%],8.46
PPFD [umolm⁻²s⁻¹],117.6
CRI Ra,92.1
CRI R1,93.7
CRI R2,95.3
CRI R3,96.5
CRI R4,91.2
CRI R5,91.4
CRI R6,89.6
CRI R7,90.4
CRI R8,88.4
CRI R9,78.4
CRI R10,94.8
CRI R11,93.3
CRI R12,66.7
CRI R13,95.2
CRI R14,99.2
CRI R15,94.8

Spectral Data 380[nm],0.000000000000
Spectral Data 385[nm],0.000000000000
Spectral Data 390[nm],0.000000000000
Spectral Data 395[nm],0.000000000000
Spectral Data 400[nm],0.000000000000
Spectral Data 405[nm],0.000000000000
Spectral Data 410[nm],0.000000000000
Spectral Data 415[nm],0.000083421211
Spectral Data 420[nm],0.002339969156
Spectral Data 425[nm],0.009340391494
Spectral Data 430[nm],0.021644886583
Spectral Data 435[nm],0.042682506144
Spectral Data 440[nm],0.080028951168
Spectral Data 445[nm],0.138468742371
Spectral Data 450[nm],0.205599844456
Spectral Data 455[nm],0.249689400196
Spectral Data 460[nm],0.243296116591
Spectral Data 465[nm],0.202450215816
Spectral Data 470[nm],0.156915932894
Spectral Data 475[nm],0.119005888700
Spectral Data 480[nm],0.091858662665
Spectral Data 485[nm],0.077185325325
Spectral Data 490[nm],0.073239162564
Spectral Data 495[nm],0.074110306799
Spectral Data 500[nm],0.078153915703
Spectral Data 505[nm],0.084827549756
Spectral Data 510[nm],0.091642715037
Spectral Data 515[nm],0.096902631223
Spectral Data 520[nm],0.100776538253
Spectral Data 525[nm],0.103212535381
Spectral Data 530[nm],0.105820134282
Spectral Data 535[nm],0.106732048094
Spectral Data 540[nm],0.104536779225
Spectral Data 545[nm],0.102583438158
Spectral Data 550[nm],0.102914758027
Spectral Data 555[nm],0.103649258614
Spectral Data 560[nm],0.103879667819
Spectral Data 565[nm],0.104623094201
Spectral Data 570[nm],0.104965724051
Spectral Data 575[nm],0.105542592704
Spectral Data 580[nm],0.107292003930
Spectral Data 585[nm],0.108468398452
Spectral Data 590[nm],0.109271176159
Spectral Data 595[nm],0.109826795757
Spectral Data 600[nm],0.109122775495
Spectral Data 605[nm],0.108074136078
Spectral Data 610[nm],0.106252714992
Spectral Data 615[nm],0.103123225272
Spectral Data 620[nm],0.099301032722
Spectral Data 625[nm],0.094799585640
Spectral Data 630[nm],0.089457109571
Spectral Data 635[nm],0.083653055131
Spectral Data 640[nm],0.077396541834
Spectral Data 645[nm],0.071162611246
Spectral Data 650[nm],0.064852379262
Spectral Data 655[nm],0.058653444052
Spectral Data 660[nm],0.052484318614
Spectral Data 665[nm],0.046359218657
Spectral Data 670[nm],0.040964454412
Spectral Data 675[nm],0.036523114890
Spectral Data 680[nm],0.032890144736
Spectral Data 685[nm],0.029453042895
Spectral Data 690[nm],0.026168776676
Spectral Data 695[nm],0.023185666651
Spectral Data 700[nm],0.020478168502
Spectral Data 705[nm],0.018118813634
Spectral Data 710[nm],0.015948930755
Spectral Data 715[nm],0.014112240635
Spectral Data 720[nm],0.012578062713
Spectral Data 725[nm],0.011123294942
Spectral Data 730[nm],0.009567647241
Spectral Data 735[nm],0.008106271736
Spectral Data 740[nm],0.007779940031
Spectral Data 745[nm],0.007888657041
Spectral Data 750[nm],0.006832256913
Spectral Data 755[nm],0.004964523017
Spectral Data 760[nm],0.003053385997
Spectral Data 765[nm],0.003429464763
Spectral Data 770[nm],0.003882249817
Spectral Data 775[nm],0.003346660873
Spectral Data 780[nm],0.003011886962

Spectral Data 380[nm],0.000000000000
Spectral Data 381[nm],0.000000000000
Spectral Data 382[nm],0.000000000000
Spectral Data 383[nm],0.000000000000
Spectral Data 384[nm],0.000000000000
Spectral Data 385[nm],0.000000000000
Spectral Data 386[nm],0.000000000000
Spectral Data 387[nm],0.000000000000
Spectral Data 388[nm],0.000000000000
Spectral Data 389[nm],0.000000000000
Spectral Data 390[nm],0.000000000000
Spectral Data 391[nm],0.000000000000
Spectral Data 392[nm],0.000000000000
Spectral Data 393[nm],0.000000000000
Spectral Data 394[nm],0.000000000000
Spectral Data 395[nm],0.000000000000
Spectral Data 396[nm],0.000000000000
Spectral Data 397[nm],0.000000000000
Spectral Data 398[nm],0.000000000000
Spectral Data 399[nm],0.000000000000
Spectral Data 400[nm],0.000000000000
Spectral Data 401[nm],0.000000000000
Spectral Data 402[nm],0.000000000000
Spectral Data 403[nm],0.000000000000
Spectral Data 404[nm],0.000000000000
Spectral Data 405[nm],0.000000000000
Spectral Data 406[nm],0.000000000000
Spectral Data 407[nm],0.000000000000
Spectral Data 408[nm],0.000000000000
Spectral Data 409[nm],0.000000000000
Spectral Data 410[nm],0.000000000000
Spectral Data 411[nm],0.000000000000
Spectral Data 412[nm],0.000000000000
Spectral Data 413[nm],0.000000000000
Spectral Data 414[nm],0.000000000000
Spectral Data 415[nm],0.000000000000
Spectral Data 416[nm],0.000000000000
Spectral Data 417[nm],0.000000000000
Spectral Data 418[nm],0.000465653487
